# id|title|destination|state|category|days|nights|price|rating|imageFolder
ooty-family-escape|Ooty Family Escape|Ooty|Tamil Nadu|Family|3|2|8999|4.8|ooty
ooty-romantic-retreat|Ooty Romantic Retreat|Ooty|Tamil Nadu|Couple|4|3|12999|4.9|ooty
kodaikanal-adventure|Kodaikanal Adventure Trail|Kodaikanal|Tamil Nadu|Friends|3|2|9499|4.7|kodaikanal
kodaikanal-retreat|Kodaikanal Lake Retreat|Kodaikanal|Tamil Nadu|Solo|2|1|6499|4.6|kodaikanal
madurai-heritage-tour|Madurai Heritage Tour|Madurai|Tamil Nadu|Temple|2|1|7999|4.8|madurai
madurai-spiritual-journey|Madurai Spiritual Journey|Madurai|Tamil Nadu|Temple|3|2|8999|4.7|madurai
kanyakumari-sunset|Kanyakumari Sunset Experience|Kanyakumari|Tamil Nadu|Couple|2|1|10999|4.8|kanyakumari
kanyakumari-adventure|Kanyakumari Beach Adventure|Kanyakumari|Tamil Nadu|Friends|3|2|8999|4.6|kanyakumari
rameswaram-temple-tour|Rameswaram Temple Tour|Rameswaram|Tamil Nadu|Temple|3|2|11999|4.8|rameswaram
puducherry-cultural|Puducherry Cultural Escape|Puducherry|Tamil Nadu|Solo|3|2|8499|4.7|puducherry
puducherry-romantic|Puducherry Romantic Retreat|Puducherry|Tamil Nadu|Couple|3|2|11499|4.8|puducherry
valparai-tea-estates|Valparai Tea Estate Retreat|Valparai|Tamil Nadu|Family|3|2|11999|4.8|valparai
valparai-adventure|Valparai Nature Adventure|Valparai|Tamil Nadu|Friends|3|2|9999|4.7|valparai
yercaud-family-getaway|Yercaud Family Getaway|Yercaud|Tamil Nadu|Family|3|2|8999|4.7|yercaud
yercaud-romantic|Yercaud Romantic Escape|Yercaud|Tamil Nadu|Couple|2|1|9999|4.8|yercaud
coimbatore-coffee|Coimbatore Coffee Country|Coimbatore|Tamil Nadu|Family|3|2|10999|4.7|coimbatore
chettinad-heritage|Chettinad Heritage Trail|Chettinad|Tamil Nadu|Culture|2|1|9999|4.8|chettinad
chettinad-cultural|Chettinad Cultural Experience|Chettinad|Tamil Nadu|Solo|3|2|8499|4.6|chettinad
kera-backwater-family|Alleppey Backwater Family Joy|Alleppey|Kerala|Family|3|2|9999|4.9|allapey
kera-backwater-romantic|Romantic Alleppey Escape|Alleppey|Kerala|Couple|4|3|14999|5|allapey
kera-munnar-family|Munnar Tea Garden Adventure|Munnar|Kerala|Family|3|2|8999|4.8|munnar
kera-munnar-friends|Munnar Friends Trek & Bond|Munnar|Kerala|Friends|3|2|7999|4.7|munnar
kera-munnar-solo|Munnar Solo Retreat|Munnar|Kerala|Solo|2|1|5999|4.6|munnar
kera-wayanad-adventure|Wayanad Wildlife Explorer|Wayanad|Kerala|Friends|4|3|11999|4.8|wayanad
kera-wayanad-family|Wayanad Family Nature Tour|Wayanad|Kerala|Family|3|2|9499|4.7|wayanad
kera-wayanad-solo|Wayanad Solo Explorer|Wayanad|Kerala|Solo|2|1|6499|4.5|wayanad
